customer Code	Item Code	Date	Qty	Val
224558	RN1655	01062019	2	18.00000
132039	RN2109	02062019	2	18.00000
133010	RN1655	03062019	2	27.00000
363222	RN1661	09062019	10	18.00000
131398	RN1655	10062019	3	18.00000
131371	RN1655	10062019	3	9.00000
225186	RN1655	13062019	2	27.00000
133270	RN1655	15062019	1	27.00000
222013	RR1051	15062019	2	27.00000
351285	RR1712	15062019	2	9.00000
311090	RN1711	15062019	2	18.00000
321054	RR1690	15062019	3	18.00000
222194	RN1507	16062019	1	9.00000
363004	RN1660	19062019	4	27.00000
363004	RN1476	19062019	2	18.00000
363004	RR1541	19062019	4	27.00000
363004	rr1509	19062019	1	27.00000
363004	RN2702	19062019	1	18.00000
211016	RR1659	19062019	4	90.00000
211016	RR1051	22062019	10	90.00000
211016	RR1659	22062019	1	27.00000
341197	RN1476	23062019	5	9.00000
121501	RN1655	25062019	5	27.00000
342600	RN1476	25062019	5	9.00000
351288	RN1476	26062019	10	90.00000
332153	RN1505	27062019	30	18.00000
341510	RN1502	01062019	10	18.00000
341510	RN1505	01062019	5	45.00000
341510	RN1654	01062019	2	18.00000
341510	RN2111	01062019	2	27.00000
341510	RN1655	01062019	2	18.00000
132081	RN1655	01062019	2	18.00000
352198	RN1476	01062019	5	9.00000
222300	RN1556	01062019	4	27.00000
352198	RN1551	01062019	3	9.00000
352198	RN1507	01062019	5	90.00000
352198	RN1455	01062019	2	45.00000
331048	RN1551	01062019	5	27.00000
342130	RN1505	01062019	2	90.00000
131371	RN1655	01062019	2	18.00000
132081	RN1655	01062019	28	18.00000
131398	RN1655	01062019	20	90.00000
133010	RN1655	01062019	3	45.00000
133018	RN1476	01062019	5	18.00000
132132	RN1655	01062019	2	45.00000
132132	RN1476	01062019	3	9.00000
133167	RN1655	01062019	2	18.00000
133167	RN1476	01062019	6	90.00000
332114	RN2111	01062019	5	18.00000
332114	RN1476	01062019	1	18.00000
332114	RN1655	01062019	276	27.00000
225152	RR1713	01062019	5	27.00000
211068	RN1457	01062019	10	27.00000
212033	RN1556	01062019	5	45.00000
342354	RN1655	01062019	3	9.00000
352196	RN1655	02062019	5	45.00000
352196	RN1476	02062019	2	90.00000
341003	RN1655	02062019	3	45.00000
341003	RN1476	02062019	4	27.00000
221079	RN1507	02062019	1	45.00000
311545	RN1654	02062019	5	45.00000
132248	RN1655	02062019	59	27.00000
133270	RN1655	02062019	2	27.00000
311436	RN1505	02062019	2	18.00000
363222	RN1660	03062019	3	18.00000
362236	RN1551	03062019	8	45.00000
212406	RN1507	03062019	3	27.00000
132106	RN1476	03062019	3	45.00000
132028	RN1476	03062019	2	45.00000
341112	RN1655	03062019	2	54.00000
341112	RN1507	03062019	3	18.00000
341112	RN1476	03062019	50	180.00000
341112	RN1506	03062019	3	90.00000
341112	RN1455	03062019	26	18.00000
341112	RN1457	03062019	3	27.00000
341112	RN1505	03062019	5	18.00000
132075	RN1476	03062019	5	18.00000
131094	RN1476	03062019	1	18.00000
133191	RN1655	03062019	2	18.00000
131556	RN1505	03062019	2	18.00000
363222	RN1661	04062019	1	18.00000
122693	RN1586	04062019	1	18.00000
222123	RN1455	08062019	3	27.00000
361048	RN1507	08062019	3	45.00000
342094	RN1655	08062019	3	45.00000
342094	RN2110	08062019	1	27.00000
342094	RN2702	08062019	1	90.00000
211002	rr1509	08062019	5	45.00000
222020	RN1505	08062019	2	45.00000
211014	RN1502	09062019	1	18.00000
131373	RN1655	09062019	2	90.00000
131370	RN2702	09062019	1	27.00000
131446	RN2702	09062019	2	18.00000
131446	RN2111	09062019	3	27.00000
131081	RN2109	09062019	4	45.00000
352215	RN1556	09062019	2	180.00000
121062	RN1476	09062019	2	27.00000
351255	RN1654	09062019	345	180.00000
222223	RN1551	09062019	1	18.00000
351066	RN1507	10062019	5	27.00000
122124	RN1476	10062019	1	18.00000
212033	RN1476	10062019	1	9.00000
342383	RN1476	10062019	30	18.00000
342383	rr1509	10062019	2	18.00000
222179	rr1572	10062019	5	18.00000
222143	RN1655	10062019	1	18.00000
231229	RN2111	10062019	6	27.00000
231229	RN2702	10062019	5	9.00000
341451	RN1655	10062019	2	36.00000
341451	RN1654	10062019	1	18.00000
321054	RR1690	11062019	1	90.00000
351190	RN2702	11062019	1	18.00000
342209	RN1655	11062019	2	27.00000
224597	RN1655	11062019	2	18.00000
363240	RN1507	11062019	10	9.00000
222015	RR1475	12062019	2	18.00000
222015	RN1556	12062019	2	9.00000
222015	RN1655	12062019	2	18.00000
222015	RN1507	12062019	1	18.00000
222194	RN1507	12062019	2	54.00000
311421	RN1551	12062019	3	45.00000
311421	RN1476	12062019	2	45.00000
342135	RN1476	12062019	1	18.00000
352131	RN1551	12062019	5	90.00000
352131	RN1505	12062019	5	45.00000
311608	RN1455	12062019	2	45.00000
341202	RN1476	12062019	2	18.00000
341202	rr1509	12062019	5	9.00000
341202	RR1690	12062019	5	18.00000
341202	RN1551	12062019	6	45.00000
123455	rr1572	12062019	2	27.00000
341069	RR1671	13062019	2	9.00000
341069	RR1667	13062019	3	90.00000
341069	RR1541	13062019	1	45.00000
221094	RN1455	13062019	3	45.00000
221094	RN1457	13062019	2	33.75000
221210	RR104	13062019	1	33.75000
221210	RN1455	13062019	20	67.50000
221210	RN1457	13062019	20	67.50000
351384	RN1476	13062019	5	101.25000
221050	rr1572	13062019	3	33.75000
221050	RN1505	13062019	3	67.50000
221050	RR1050	13062019	4	101.25000
211016	RR1659	13062019	2	33.75000
211016	RN2109	13062019	3	202.50000
211016	RR1669	13062019	1	67.50000
211016	rr1572	13062019	1	33.75000
211016	RN2110	13062019	2	67.50000
211016	RN2111	13062019	2	67.50000
211016	RR1674	13062019	8	67.50000
321235	RN1556	15062019	8	33.75000
221067	RN1502	15062019	1	33.75000
221122	RN1507	15062019	5	33.75000
221122	RN1505	15062019	2	33.75000
221191	RN1655	15062019	2	67.50000
221191	RR1050	15062019	5	33.75000
221191	RR1051	15062019	5	101.25000
221191	RN1551	15062019	10	33.75000
311401	RN1506	15062019	2	67.50000
311401	RN1505	15062019	1	67.50000
342594	RN1476	15062019	1	67.50000
221122	RN1655	15062019	1	101.25000
221122	RN1660	15062019	2	675.00000
221122	RN1455	15062019	1	33.75000
221122	RN1502	15062019	2	101.25000
221122	RN1556	15062019	5	33.75000
121501	RN1655	15062019	2	168.75000
364013	RN1507	16062019	1	67.50000
212406	RN1556	16062019	3	67.50000
212406	RN1476	16062019	3	101.25000
212406	rr1572	16062019	3	67.50000
212406	RN1655	16062019	2	33.75000
131491	RN1654	16062019	2	101.25000
222268	rr1509	16062019	2	67.50000
222268	RN1655	16062019	5	810.00000
212301	RN1502	16062019	2	67.50000
212301	RN1551	16062019	5	101.25000
331371	RN1506	16062019	3	67.50000
331371	RN1505	16062019	1	168.75000
342089	RN1556	16062019	3	67.50000
