State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/7/1905,FRANKLIN_CENTRAL_SCHOOL,20,0,1089,Franklin,2,7,7,1905
7/7/1905,FRANKLINVILLE_CENTRAL_SCHOOL,40,0,1092,Franklinville,5,7,7,1905
7/7/1905,FRIENDLY_RIDE,2,0,1096,Long island city,11,7,7,1905
7/7/1905,FRIENDSHIP_AMBULETTE,0,0,1098,Bronx,8,7,7,1905
7/7/1905,FRIENDSHIP_BAPTIST_CHURCH,3,0,1099,Schenectady,1,7,7,1905
7/7/1905,FRIENDSHIP_CIRCLE_OF_THE_NORTHSHORE,2,0,1101,Great neck,10,7,7,1905
7/7/1905,FRIENDS_SEMINARY,4,0,1102,New york,10,7,7,1905
7/7/1905,FRISKY_WINE_TOURS,2,0,1103,Dundee,4,7,7,1905
7/7/1905,FROST_VALLEY_YMCA,13,0,1105,Claryville,8,7,7,1905
7/7/1905,F&T_MEDICAL_TRANSPORTATION,0,0,1106,Savannah,3,7,7,1905
7/7/1905,FULTON_CONSOLIDATED_SCHOOL,26,0,1108,Fulton,3,7,7,1905
7/7/1905,FULTON_COUNTY_CHAPTER_OF_NYSARC.INC,2,0,1109,Johnstown,1,7,7,1905
7/7/1905,F&Y_TRAVEL_INC,0,0,1111,Broklyn,11,7,7,1905
7/7/1905,G4S_SECURE_SOLUTIONS_D/B/A_G4S,2,0,1112,New york,10,7,7,1905
7/7/1905,GALAXY_LUXURY_COACH_INC.,8,0,1114,South massapequa,10,7,7,1905
7/7/1905,GALAXY_TRANSPORTATION,40,0,1115,Hawthorne,11,7,7,1905
7/7/1905,GARDEN_SCHOOL,10,0,1120,Jackson heights,11,7,7,1905
7/7/1905,GATES-CHILI_CENTRAL_SCHOOL,177,0,1122,Rochester,4,7,7,1905
7/7/1905,"GDM,INC.(DBA_ROCHESTER_SHUTTLE",10,0,1125,Rochester,4,7,7,1905
7/7/1905,GEMACH_CHASDI_YOEL_OF_WILLIAMSBURG,2,0,1128,Brooklyn,11,7,7,1905
7/7/1905,GENERAL_AMBULETTE,8,0,1129,Bronx,11,7,7,1905
7/7/1905,GENESEE_VALLEY_CENTRAL_SCHOOL,42,0,1135,Belmont,4,7,7,1905
7/7/1905,GENESEO_CENTRAL_SCHOOL_DISTRIC,46,0,1136,Geneseo,4,7,7,1905
7/7/1905,GENESIS,8,0,1137,Bronx,8,7,7,1905
7/7/1905,GENESIS_AMBULETTE_INC.,1,0,1138,White plains,8,7,7,1905
7/7/1905,GENEVA_AGRI-CHILD_CARE_PROGRAM,11,0,1139,Geneva,4,7,7,1905
7/7/1905,GENEVA_NURSING_HOME,0,0,1141,Geneva,4,7,7,1905
7/7/1905,GERMAN_TRANSPORTATION_INC.,5,0,1144,East elmshurst,11,7,7,1905
7/7/1905,GIANLOUI_TRANS_CORP,1,0,1145,Elmurst,11,7,7,1905
7/7/1905,GILBERTSVILLE_MOUNT_UPTON_CS,44,0,1146,Gilbertsville,2,7,7,1905
7/7/1905,GIO'S_TRAVEL_INC.,7,0,1149,Elmont,11,7,7,1905
7/7/1905,GIRLS_CLUB_OF_WESTERN_BROOME_INC.,4,0,1150,Endicott,2,7,7,1905
