City,Operator Name
"Pleasantville, Ny 10","ALLSTATE_COACH_&_LIMO,_INC."
Arverne,ALL_TRANSIT_LLC
Bellmore,ALPHABETLAND_SCHOOL_&_DAY_CAMP
Brooklyn,ALTA_MEDICAL_TRANSPORTING_INC
Fresh Meadows,ALVARO_POVERDA_DBA_A.P._TOURS
Lynbrook,ALWAYS_IN_STYLE_LIMO'S
Plainview,AMERICAN_AMBULETTE
Flushing,AMERICAN_ASIA_TRAVEL_CENTER
Holbrook,AMERICAN_MEDICAL_RESPONSE
Hicksville,AMERICAN_PARTY_RIDE_INC.
Lynbrook,AMG_TRANSPORTATION_INC
Depew,AMHERST_LIMOUSINE_SERVICE
Amityville,AMITY_SHUTTLE
Amsterdam,AMSTERDAM_COMMUNITY_TRANSIT
Astoria,ANAILDA_TROTMAN_DBA_TRANSPORTE_NY
Staatsburg,ANDERSON_CTR._FOR_AUTISM
South Ozone Park,ANDRADE'S_LIMO_INC
Lindenhurst,ANGEL_AMBULETTE_INC
Cold Brook,ANGEL_RIDE_LIMOUSINE
Elmhurst,ANGEL'S_TRANSPORTATION
Corona,ANITA_TRANSPORTATION
Hauppauge,ANY_TIME_BUS_CO._INC.
Harriman,A_ONE_BUS_INC
Brooklyn,APEX_INTERNATIONAL_LIMOUSINE_INC.
Flushing,"APOLLO_NY-CITY_AMBULETTE,_INC"
Astoria,"APPLE_TRANSPORTATION_OF_N._Y.,_INC"
Long Island City,ARABIAN_TRAVEL_TRANS_CORP
Ardsley,ARDSLEY_UNION_FREE_SCHOOL_DIST
Wantagh,A_RIDE_4U_AMBULETTE
Staten Island,ARM_TRANSPORTATION_INC
Yorktown Heights,ARTISTE_LIMOUSINE_SERVICE
Brooklyn,ASCONA__AMBULETTE__SERVICE__INC
Craryville,ASTRETCHOUT_LIMOUSINES
Brooklyn,ASTRO_AMBULETTE_CORP
Baldwin,ATLANTIC_AMBULETTE_SERVICE_INC.
Staten Island,ATLANTIC_EXPRESS_COACHWAYS
Maspeth,ATLANTIC_PARATRANSIT
Flushing,ATLANTIC_QUEENS
Brooklyn,"ATLANTIC_TRAVEL_AND_TOUR,_INC"
Queens Villiage,"ATLAS_AMBULETTE,INC."
Attica,ATTICA_CENTRAL_SCHOOL_DISTRICT
Auburn,AUBURN_ENL._CITY_SCHOOL
Milltown,"AVAILABLE_CARE,INC"
Avoca,AVOCA_CENTRAL_SCHOOL_DISTRICT
Astoria,AVT_TRANSPORTATION
New Hyde Park,"A_WHITE_STAR_LIMOUSINE_SERVICE,_INC"
Boston,A_YANKEE_LINE_INC
Tonawanda,AYR_COACH_LINES__USA_LTD.
Rochester,BADEN_ST_SETTLEMNT_INC.
Bainbridge,BAINBRIDGE_GUILFORD_CS
Brooklyn,BAIS_CHAYA_ESTHER_INC
Brooklyn,BAIS_YAAKOV_D'CHASSIDEI_GUR
Brooklyn,BAIS_YAAKOV_F.S._OF_ADAS_YEREIM
Brooklyn,BAIS_YAKOV_YOSSEF_LTD
Bronx,BAKER_TRANS
Baldwin,BALDWIN_UFSD
Ithaca,BANGS_AMBULANCE_SERVICE
Laurelton,BANNER_INTERNATIONAL_CORPORATION
Barker,BARKER_CENTRAL_SCHOOL
Oceanside,BARRY_&_FLORENCE_FRIEDBERG_JJC
Brooklyn,BAS_MELECH_SCH_FOR_GIRLS
Brooklyn,BATIM_INC
Bayport,BAYPORT_BLUEPOINT_UFSD
Port Washington,BAY_TERRACE_TRANSIT_CORP
Rego Park,BB'S_TRANSPORTATION
Brooklyn,BEER_HAGOLAH
Brooklyn,BE'ER_MIRIAM
Lisbon,BELLINGER_MEDICAL_TRANSPORT
Merrick,BELLMORE_MERRICK_CENTRAL_HIGH_SCH.
Bellmore,BELLMORE_UFSD
Queens Villiage,BELL_PARK_CHILD_CARE_CENTER_INC
Bronx,BELMONT_ARTHUR_AVE_LDC
